Country Name,Country Code,POP_change,net_migration,mean_nat_birth_rate,LE_change,GDP_change
Romania,ROU,-3830187.0,-2322848.0,10.51333333333333,5.86609756,212023545455.0
Russian Federation,RUS,-3563146.0,10975441.0,10.889999999999999,4.197804880000007,1176296000000.0
Rwanda,RWA,5515066.0,-713132.0,37.75376666666667,18.005999999999993,7806141531.0
Saudi Arabia,SAU,19822599.0,4808240.0,25.035399999999996,8.355999999999995,685986000000.0
Sudan,SDN,22141207.0,-2582381.0,37.984400000000015,16.144000000000005,-1303143057.0
Senegal,SEN,8464780.0,-1036658.0,38.1125,11.57800000000001,16007844389.0
Singapore,SGP,2656437.0,2046776.0,11.95,8.300000000000011,339328663231.0
Solomon Islands,SLB,350822.0,-52292.0,34.633966666666666,4.990000000000009,1404277180.6
Sierra Leone,SLE,3721440.0,-297314.0,41.177633333333326,16.198000000000008,3426933716.2
El Salvador,SLV,913038.0,-2095980.0,23.8566,10.009,22063597796.0
Somalia,SOM,8982204.0,-940244.0,48.4806,9.973000000000006,5567955772.0
Suriname,SUR,187545.0,-40095.0,23.163333333333334,8.012,3627640575.0
Slovak Republic,SVK,154960.0,3591.0,11.063333333333334,6.733170729999998,92972619350.0
Sweden,SWE,1720052.0,1355792.0,11.713333333333333,5.57292683,272034000000.0
Eswatini,SWZ,315602.0,-241724.0,31.694233333333333,-2.522999999999996,3380561073.0
Syrian Arab Republic,SYR,7689255.0,-4255988.0,28.7667,2.0050000000000097,-1461199111.0
Chad,TCD,10299797.0,551416.0,49.68469999999999,8.572999999999986,9576345785.0
Togo,TGO,4367147.0,-60721.0,37.61973333333333,6.531000000000006,5591967733.0
Thailand,THA,16079353.0,2497067.0,13.719866666666668,8.530000000000001,458737936034.0
Tajikistan,TJK,3919143.0,-1183253.0,32.3123,8.988000000000007,5669015904.0
Turkmenistan,TKM,2438142.0,-229525.0,25.983966666666664,5.063000000000002,42043330803.0
Trinidad and Tobago,TTO,253437.0,-94911.0,15.312399999999998,5.956000000000017,18781557812.0
Tunisia,TUN,3609291.0,-491733.0,19.1529,5.882999999999996,29615545504.0
Turkiye,TUR,29157542.0,418214.0,20.29616666666667,10.12299999999999,609261000000.0
Tanzania,TZA,33666567.0,-1737057.0,40.9324,15.50399999999999,56878130429.0
Uganda,UGA,25362450.0,-2115163.0,45.591366666666666,16.548000000000002,31048661768.0
Ukraine,UKR,-7505197.0,-752798.0,9.833333333333334,1.7297560900000093,72489441577.0
Uruguay,URY,311397.0,-257665.0,15.242266666666668,4.346000000000004,51932310226.0
United States,USA,78706953.0,41545076.0,13.803333333333333,3.573170730000001,15417860000000.0
Uzbekistan,UZB,13070350.0,-1186840.0,24.38666666666666,5.9979999999999905,46547066109.0
Vietnam,VNM,28864103.0,-1172526.0,19.082900000000002,4.8799999999999955,327893259194.0
South Africa,ZAF,18209485.0,228074.0,23.2169,2.799999999999997,262484000000.0
Zambia,ZMB,10694076.0,31589.0,43.15256666666667,14.866999999999997,20023450390.0
Zimbabwe,ZWE,5240715.0,-2651819.0,34.660399999999996,1.8659999999999997,13048418226.0
